scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
moderate_shear,1.68,-28.10978095,0.33627726,0.005272818477,0.02208673039,1.528691221,1.226289042,89.5,5.996001,4.052207,1,0.33627726,0.33627726,0.04662811,2,27.908879,3.206865
moderate_shear,1.7,-44.51750505,0.30404079,0.002618843889,0.01096978763,1.510456553,1.204260429,72.0,5.485506,6.563482,1,0.30404079,0.30404079,0.028329956,2,20.949732,3.436798
moderate_shear,1.7125,-72.77215626,0.28010846,0.001297417179,0.005434608372,1.499170505,1.190627422,49.0,4.893048,9.016289,1,0.28010846,0.28010846,0.016535875,2,16.837388,2.91019
moderate_shear,1.720235,-126.15291245,0.26258859,0.0006257068738,0.002620954824,1.492228758,1.182242809,32.25,4.503629,12.304676,1,0.26258859,0.26258859,0.0090744276,2,14.340068,2.248943
moderate_shear,1.724545,-225.76858354,0.25111643,0.0003062015538,0.001282614069,1.48837517,1.177588508,29.5,4.390269,22.999904,1,0.25111643,0.25111643,0.0048557592,2,12.926906,2.282062
moderate_shear,1.726912,-420.84955718,0.24380044,0.0001496905512,0.0006270223145,1.486263146,1.175037729,28.0,4.32079,44.655508,0,0.24380044,0.24380044,0.002518404,2,12.117547,2.310699
moderate_shear,1.728163,-811.07411701,0.23935803,7.311609299e-05,0.0003062679741,1.485147585,1.173690447,26.5,4.274576,86.525534,0,0.23935803,0.23935803,0.0012761948,2,11.663359,2.272073
moderate_shear,1.728806,-1601.22359102,0.23676899,3.569149923e-05,0.0001495042024,1.484575169,1.172999138,26.5,4.249403,177.252543,0,0.23676899,0.23676899,0.00063667112,2,11.413542,2.321803
moderate_shear,1.729129,-3211.44896982,0.2353072,1.741571936e-05,7.295079467e-05,1.484287335,1.172651521,26.0,4.236167,356.404617,0,0.2353072,0.2353072,0.00031453646,2,11.278455,2.30528
moderate_shear,1.729289,-6503.38705976,0.23450092,8.495929722e-06,3.55876672e-05,1.484144461,1.172478973,25.75,4.229097,723.565269,0,0.23450092,0.23450092,0.00015449762,2,11.206374,2.2978
moderate_shear,1.729368,-13243.87766387,0.2340637,4.143983778e-06,1.735827866e-05,1.484074092,1.172393989,25.5,4.224199,1469.039673,0,0.2340637,0.2340637,7.563972e-05,2,11.168297,2.283249
moderate_shear,1.729407,-27055.88608234,0.23382955,2.021110622e-06,8.466008376e-06,1.484039588,1.172352318,25.5,4.222114,3012.045213,0,0.23382955,0.23382955,3.696505e-05,2,11.148336,2.287337
moderate_shear,1.729426,-55368.44107469,0.23370533,9.856955979e-07,4.128872065e-06,1.484022712,1.172331937,25.5,4.220678,6176.020859,0,0.23370533,0.23370533,1.8047024e-05,2,11.137934,2.289473
